Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Kenneth McDonald ** Liberal/Libéral","Conception Bay South, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",19122,46.3,      6267,  15.2
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Matthew Chapman Conservative/Conservateur","Paradise, N.L./ T.-N.-L.","Teacher/Enseignant",12855,31.1,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Lea Mary Movelle NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","ESL Tutor/Professeure d'anglais langue seconde",7142,17.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Avalon","10001","Greg Malone Green Party/Parti Vert","Avondale, N.L./ T.-N.-L.","Actor/Writer/Acteur et scénariste",2215,5.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Churence Rogers ** Liberal/Libéral","Centreville, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",14707,45.7,      2010,   6.2
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Sharon Vokey Conservative/Conservateur","Trinity, N.L./ T.-N.-L.","Hotel General Manager/Directrice générale d'hôtel",12697,39.5,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Matthew Cooper NDP-New Democratic Party/NPD-Nouveau Parti démocratique","St. John's, N.L./ T.-N.-L.","Student/Étudiant",3855,12,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Bonavista--Burin--Trinity","10002","Kelsey Reichel Green Party/Parti Vert","Carbonear, N.L./ T.-N.-L.","Crane Operator/Grutier",920,2.9,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Scott Simms ** Liberal/Libéral","Norris Arm, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",16514,48.3,      4433,  13.0
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Alex Bracci Conservative/Conservateur","Gander, N.L./ T.-N.-L.","Financial Advisor/Conseiller financier",12081,35.3,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Noel Joe NDP-New Democratic Party/NPD-Nouveau Parti démocratique","Conne River, N.L./ T.-N.-L.","Unemployed/Sans emploi",4224,12.4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Coast of Bays--Central--Notre Dame","10003","Byron White Green Party/Parti Vert","Comfort Cove-Newstead, N.L./ T.-N.-L.","Educator/Éducateur",1363,4,,
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Yvonne Jones ** Liberal/Libéral","Mary's Harbour, N.L./ T.-N.-L.","Parliamentarian/Parlementaire",4851,42.5,      1303,  11.4
"Newfoundland and Labrador/Terre-Neuve-et-Labrador","Labrador","10004","Larry Flemming Conservative/Conservateur","Churchill Falls, N.L./ T.-N.-L.","Engineer/Ingénieur",3548,31.1,,
